Platform: Windows | torch main-process threads: 5 | cpu_count: 6
Environment check completed in 0.01s
run_dir: trained\20260715_132120\smart_cuda_brake2
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
---------------------------------------------------------------------------------------------------------------------------
     0 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1500 |    1.18 |   30.0 |   0.0% |      0/0 |      7.1
    10 |     3 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1500 |    2.29 |   30.0 |   0.0% |      0/8 |      9.4
    20 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1500 |    1.34 |   30.0 |   0.0% |      0/0 |      3.1
    30 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1500 |    2.97 |   30.0 |  10.0% |      0/6 |      5.6
    40 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1500 |    1.38 |   30.0 |   0.0% |      0/0 |      3.6
    50 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1500 |    1.25 |   30.0 |  10.0% |      0/7 |      3.5
    60 |     4 |    157.17 |     8.35 |    92.70 |    56.12 |   0.1500 |    5.39 |   30.0 |  10.0% |      0/0 |     12.9
    70 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1500 |    2.29 |   30.0 |  10.0% |      2/9 |      6.0
    80 |     3 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1500 |    3.19 |   30.0 |  20.0% |     4/17 |      9.7
    90 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1500 |    2.69 |   30.0 |   0.0% |      0/9 |      6.2
   100 |     4 |    222.35 |     8.33 |   145.56 |    68.46 |   0.1500 |    3.43 |   30.0 |  10.0% |     0/15 |     13.5
   110 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1500 |    1.52 |   30.0 |   0.0% |      0/6 |      3.4
   120 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1500 |    1.52 |   30.0 |   0.0% |     0/16 |      4.0
   130 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1500 |    2.00 |   30.0 |   0.0% |      0/5 |    522.8
   140 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1499 |    1.11 |   30.0 |  10.0% |     1/16 |      4.4
   150 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1499 |    1.51 |   30.0 |  20.0% |      0/5 |      3.3
   160 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1499 |    1.97 |   30.0 |   0.0% |     1/14 |      9.4
   170 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1499 |    1.12 |   30.0 |   0.0% |      0/0 |      3.7
   180 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1499 |    2.72 |   30.0 |   0.0% |     0/11 |      7.3
   190 |     2 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1499 |    2.86 |   30.0 |   0.0% |      0/0 |      8.6
   200 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1499 |    1.29 |   30.0 |   0.0% |     0/10 |      4.5
   210 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1499 |    1.64 |   30.0 |   0.0% |     0/19 |      3.7
   220 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1499 |    2.28 |   30.0 |   0.0% |      0/8 |      7.6
   230 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1499 |    1.02 |   30.0 |   0.0% |     0/17 |      3.3
   240 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1499 |    1.53 |   30.0 |   0.0% |      0/5 |      4.0
   250 |     3 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1499 |    3.64 |   30.0 |   0.0% |     0/18 |    369.8
   260 |     3 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1499 |    1.54 |   30.0 |  10.0% |      1/8 |     10.1
   270 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1499 |    2.08 |   30.0 |  10.0% |     2/16 |      8.2
   280 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1499 |    1.23 |   30.0 |   0.0% |      0/7 |      3.0
   290 |     1 |    -10.10 |   -10.10 |     0.00 |     0.00 |   0.1499 |    1.40 |   30.0 |   0.0% |     0/17 |      4.3
   300 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1499 |    1.52 |   30.0 |  10.0% |      1/6 |    346.5
   310 |     4 |    -10.11 |   -10.11 |     0.00 |     0.00 |   0.1499 |    5.12 |   30.0 |   0.0% |     1/17 |     13.8
   320 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1499 |    1.36 |   30.0 |   0.0% |      0/6 |      3.5
   330 |     3 |    249.45 |     8.34 |   169.93 |    71.18 |   0.1499 |    2.94 |   30.0 |  20.0% |     1/14 |      8.7
   340 |     2 |    254.59 |     8.34 |   188.20 |    58.05 |   0.1499 |    2.66 |   30.0 |  20.0% |      0/4 |      6.7
   350 |     3 |     -3.02 |    -3.02 |     0.00 |     0.00 |   0.1499 |    2.42 |   30.0 |   0.0% |     1/12 |     10.3
   360 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1499 |    1.45 |   30.0 |  10.0% |      1/3 |      3.5
   370 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1499 |    0.92 |   30.0 |  10.0% |     2/14 |      3.9
   380 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1499 |    1.75 |   30.0 |   0.0% |      0/0 |    325.5
   390 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1499 |    1.34 |   30.0 |   0.0% |     0/11 |      3.3
   400 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1499 |    1.33 |   30.0 |   0.0% |      0/0 |      3.2
   410 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1499 |    2.07 |   30.0 |  10.0% |     1/11 |      6.9
   420 |     3 |     -0.72 |    -0.72 |     0.00 |     0.00 |   0.1498 |    3.03 |   30.0 |   0.0% |      0/0 |    308.6
   430 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.54 |   30.0 |  10.0% |     1/10 |    330.1
   440 |     3 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    3.74 |   30.0 |   0.0% |     1/19 |    338.7
