Platform: Windows | torch main-process threads: 5 | cpu_count: 6
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:317: UserWarning: WARN: A Box observation space minimum value is -infinity. This is probably too low.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:321: UserWarning: WARN: A Box observation space maximum value is infinity. This is probably too high.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:440: UserWarning: WARN: Not able to test alternative render modes due to the environment not having a spec. Try instantiating the environment through `gymnasium.make`
  logger.warn(
Environment check completed in 0.04s
run_dir: trained\20260715_122429\smart_cuda_brake
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
---------------------------------------------------------------------------------------------------------------------------
     0 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1500 |    1.02 |   30.0 |   0.0% |      0/0 |     62.3
    10 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1500 |    1.31 |   30.0 |  10.0% |     1/10 |     43.6
    20 |     1 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1500 |    1.37 |   30.0 |  10.0% |     2/19 |     51.7
    30 |     5 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1500 |    5.37 |   30.0 |   0.0% |      0/8 |    258.4
    40 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1500 |    1.30 |   30.0 |  10.0% |     1/19 |     47.0
    50 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1500 |    0.35 |   30.0 |   0.0% |      0/5 |     53.3
    60 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1500 |    1.18 |   30.0 |  10.0% |     1/13 |     68.5
    70 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1500 |    1.57 |   30.0 |   0.0% |      0/4 |     69.2
    80 |     3 |    -10.10 |   -10.10 |     0.00 |     0.00 |   0.1500 |    2.33 |   30.0 |  10.0% |     1/13 |    164.0
